Sciname,Group,Common,EwE_name,EwE_num,AspectRatio,CommonLength,Swim_mode,Base_rate,Scaled_RD,Scaled_SS,Scaler_Snook,Scaled_avg,Scaler_sd
anisotremus surinamensis,reef-rubble-associated invertebrate feeders,BLACK MARGATE,Reef invertebrate feeders,46,2.21793,45,0,2.07325,43,37,37,39,1
anisotremus virginicus,reef-rubble-associated invertebrate feeders,PORKFISH,Reef invertebrate feeders,46,1.77369,25,0,1.33267,27,24,24,25,1
archosargus probatocephalus,reef-rubble-associated invertebrate feeders,SHEEPSHEAD,Reef invertebrate feeders,46,1.44066,35,0,1.52705,31,28,27,29,1
archosargus rhomboidalis,reef-rubble-associated invertebrate feeders,WESTERN ATLANTIC SEA BREAM,Reef invertebrate feeders,46,2.34927,20,0,1.27976,26,23,23,24,1
aulostomus maculatus,reef-rubble-associated invertebrate feeders,TRUMPETFISH,Reef invertebrate feeders,46,1.2398,60,0,2.024,42,36,36,38,1
bodianus pulchellus,reef-rubble-associated invertebrate feeders,SPOTFIN HOGFISH,Reef invertebrate feeders,46,1.4208,18,0,1.00651,21,18,18,19,1
bodianus rufus,reef-rubble-associated invertebrate feeders,SPANISH HOGFISH,Reef invertebrate feeders,46,1.61543,28,0,1.38389,28,25,25,26,1
calamus bajonado,reef-rubble-associated invertebrate feeders,"PORGY, JOLTHEAD",Reef invertebrate feeders,46,2.73233,54,0,2.49584,51,45,45,47,1
calamus calamus,reef-rubble-associated invertebrate feeders,SAUCEREYE PORGY,Reef invertebrate feeders,46,3.01125,30,0,1.79363,37,32,32,34,1
calamus leucosteus,reef-rubble-associated invertebrate feeders,WHITEBONE PORGY,Reef invertebrate feeders,46,2.52755,30,0,1.68765,35,30,30,32,1
calamus nodosus,reef-rubble-associated invertebrate feeders,KNOBBED PORGY,Reef invertebrate feeders,46,3.70011,35,0,2.11997,44,38,38,40,1
calamus pennatula,reef-rubble-associated invertebrate feeders,SHEEPSHEAD PORGY,Reef invertebrate feeders,46,3.79916,30,0,1.94464,40,35,35,37,1
calamus proridens,reef-rubble-associated invertebrate feeders,LITTLEHEAD PORGY,Reef invertebrate feeders,46,2.75681,37,0,1.98076,41,36,35,37,1
centropristis striata,reef-rubble-associated invertebrate feeders,"SEA BASS, BLACK",Reef invertebrate feeders,46,1.03188,30,0,1.23585,25,22,22,23,1
decodon puellaris,reef-rubble-associated invertebrate feeders,RED HOGFISH,Reef invertebrate feeders,46,1.48092,22,0,1.15631,24,21,21,22,1
equetus lanceolatus,reef-rubble-associated invertebrate feeders,JACKKNIFE-FISH,Reef invertebrate feeders,46,1.1987,15,0,0.84739,17,15,15,16,0
haemulon album,reef-rubble-associated invertebrate feeders,WHITE MARGATE,Reef invertebrate feeders,46,2.73664,50,0,2.38093,49,43,42,45,1
haemulon aurolineatum,reef-rubble-associated invertebrate feeders,TOMTATE,Reef invertebrate feeders,46,2.10255,18,0,1.1535,24,21,21,22,1
