"EwE_num","EwE_name","Common","Sciname","Genus","Species","ID_sp"
"18","Pelagic coastal piscivores","wahoo","acanthocybium solandri","acanthocybium","solandri","Sp_196"
"18","Pelagic coastal piscivores","whitefin sharksucker","echeneis neucratoides","echeneis","neucratoides","Sp_197"
"18","Pelagic coastal piscivores","yellow jack","caranx bartholomaei","caranx","bartholomaei","Sp_198"
"18","Pelagic coastal piscivores","mediterranean sand smelt","atherina hepsetus","atherina","hepsetus","Sp_199"
"18","Pelagic coastal piscivores","bullet tuna","auxis rochei","auxis","rochei","Sp_200"
"18","Pelagic coastal piscivores","frigate tuna","auxis sp","auxis","sp","Sp_201"
"18","Pelagic coastal piscivores","frigate tuna","auxis thazard","auxis","thazard","Sp_202"
"18","Pelagic coastal piscivores","frigate tuna","auxis thazard thazard","auxis","thazard","Sp_203"
"18","Pelagic coastal piscivores","yellow jack","carangoides bartholomaei","carangoides","bartholomaei","Sp_204"
"18","Pelagic coastal piscivores","green jack","caranx caballus","caranx","caballus","Sp_205"
"18","Pelagic coastal piscivores","pacific crevalle jack","caranx caninus","caranx","caninus","Sp_206"
"18","Pelagic coastal piscivores","island jack","caranx orthogrammus","caranx","orthogrammus","Sp_207"
"18","Pelagic coastal piscivores","blacktip trevally","caranx sem","caranx","sem","Sp_208"
"18","Pelagic coastal piscivores","bigeye trevally","caranx sexfasciatus","caranx","sexfasciatus","Sp_209"
"18","Pelagic coastal piscivores","caranx","caranx sp","caranx","sp","Sp_210"
"18","Pelagic coastal piscivores","cocinero","caranx vinctus","caranx","vinctus","Sp_211"
"18","Pelagic coastal piscivores","pompano dolphinfish","coryphaena equiselis","coryphaena","equiselis","Sp_212"
"18","Pelagic coastal piscivores","common dolphinfish","coryphaena hippurus","coryphaena","hippurus","Sp_213"
"18","Pelagic coastal piscivores","dolphinfish","coryphaena hippurus","coryphaena","hippurus","Sp_214"
"18","Pelagic coastal piscivores","dolphinfish","coryphaena sp","coryphaena","sp","Sp_215"
"18","Pelagic coastal piscivores","grenadier","coryphaenoides sp","coryphaenoides","sp","Sp_216"
"18","Pelagic coastal piscivores","live sharksucker","echeneis naucrates","echeneis","naucrates","Sp_217"
"18","Pelagic coastal piscivores","sharksucker","echeneis sp","echeneis","sp","Sp_218"
"18","Pelagic coastal piscivores","mackerel tuna","euthynnus affinis","euthynnus","affinis","Sp_219"
"18","Pelagic coastal piscivores","little tunny","euthynnus alleteratus","euthynnus","alleteratus","Sp_220"
"18","Pelagic coastal piscivores","black skipjack tuna","euthynnus lineatus","euthynnus","lineatus","Sp_221"
"18","Pelagic coastal piscivores","mackerel tuna","euthynnus sp","euthynnus","sp","Sp_222"
"18","Pelagic coastal piscivores","sargassumfish","histrio histrio","histrio","histrio","Sp_223"
"18","Pelagic coastal piscivores","trevally","kaiwarinus equula","kaiwarinus","equula","Sp_224"
"18","Pelagic coastal piscivores","atlantic tripletail","lobotes surinamensis","lobotes","surinamensis","Sp_225"
"18","Pelagic coastal piscivores","pilot fish","naucrates ductor","naucrates","ductor","Sp_226"
"18","Pelagic coastal piscivores","salmon","oncorhynchus sp","oncorhynchus","sp","Sp_227"
"18","Pelagic coastal piscivores","slender suckerfish","phtheirichthys lineatus","phtheirichthys","lineatus","Sp_228"
"18","Pelagic coastal piscivores","keeled needlefish","platybelone argalus","platybelone","argalus","Sp_229"
"18","Pelagic coastal piscivores","pacific rudderfish","psenopsis anomala","psenopsis","anomala","Sp_230"
"18","Pelagic coastal piscivores","rastrelliger","rastrelliger kanagurta","rastrelliger","kanagurta","Sp_231"
"18","Pelagic coastal piscivores","rastrelliger","rastrelliger sp","rastrelliger","sp","Sp_232"
"18","Pelagic coastal piscivores","marlin sucker","remora osteochir","remora","osteochir","Sp_233"
"18","Pelagic coastal piscivores","shark sucker","remora remora","remora","remora","Sp_234"
"18","Pelagic coastal piscivores","remora","remora sp","remora","sp","Sp_235"
"18","Pelagic coastal piscivores","remora","remora sp","remora","sp","Sp_236"
"18","Pelagic coastal piscivores","white suckerfish","remorina albescens","remorina","albescens","Sp_237"
"18","Pelagic coastal piscivores","remora","rhombochirus sp","rhombochirus","sp","Sp_238"
"18","Pelagic coastal piscivores","salmon","salmo salar","salmo","salar","Sp_239"
"18","Pelagic coastal piscivores","pacific bonito","sarda chiliensis","sarda","chiliensis","Sp_240"
"18","Pelagic coastal piscivores","striped bonito","sarda orientalis","sarda","orientalis","Sp_241"
"18","Pelagic coastal piscivores","blue mackerel","scomber australasicus","scomber","australasicus","Sp_242"
"18","Pelagic coastal piscivores","atlantic chub mackerel","scomber colias","scomber","colias","Sp_243"
"18","Pelagic coastal piscivores","pacific chub mackerel","scomber japonicus","scomber","japonicus","Sp_244"
"18","Pelagic coastal piscivores","mackerel","scomber sp","scomber","sp","Sp_245"
"18","Pelagic coastal piscivores","longfin yellowtail","seriola rivoliana","seriola","rivoliana","Sp_246"
"18","Pelagic coastal piscivores","californian needlefish","strongylura exilis","strongylura","exilis","Sp_247"
"18","Pelagic coastal piscivores","needlefish","strongylura sp","strongylura","sp","Sp_248"
"18","Pelagic coastal piscivores","timucu","strongylura timucu","strongylura","timucu","Sp_249"
"18","Pelagic coastal piscivores","cape horse mackerel","trachurus capensis","trachurus","capensis","Sp_250"
"18","Pelagic coastal piscivores","greenback horse mackerel","trachurus declivis","trachurus","declivis","Sp_251"
"18","Pelagic coastal piscivores","african horse mackerel","trachurus delagoa","trachurus","delagoa","Sp_252"
"18","Pelagic coastal piscivores","japanese horse mackerel","trachurus japonicus","trachurus","japonicus","Sp_253"
"18","Pelagic coastal piscivores","mediterranean horse mackerel","trachurus mediterraneus","trachurus","mediterraneus","Sp_254"
"18","Pelagic coastal piscivores","chilean jack mackerel","trachurus murphyi","trachurus","murphyi","Sp_255"
"18","Pelagic coastal piscivores","blue jack mackerel","trachurus picturatus","trachurus","picturatus","Sp_256"
"18","Pelagic coastal piscivores","horse mackerel","trachurus sp","trachurus","sp","Sp_257"
"18","Pelagic coastal piscivores","pacific jack mackerel","trachurus symmetricus","trachurus","symmetricus","Sp_258"
"18","Pelagic coastal piscivores","atlantic horse mackerel","trachurus trachurus","trachurus","trachurus","Sp_259"
"18","Pelagic coastal piscivores","cunene horse mackerel","trachurus trecae","trachurus","trecae","Sp_260"
"18","Pelagic coastal piscivores","pacific agujon needlefish","tylosurus acus pacificus","tylosurus","acus","Sp_261"
"18","Pelagic coastal piscivores","hound needlefish","tylosurus crocodlius","tylosurus","crocodlius","Sp_262"
"18","Pelagic coastal piscivores","needlefish","tylosurus sp","tylosurus","sp","Sp_263"
"19","Amberjack","amberjack, greater","seriola dumerili","seriola","dumerili","Sp_264"
"19","Amberjack","amberjack, lesser","seriola fasciata","seriola","fasciata","Sp_265"
"19","Amberjack","greater amberjack","seriola dumerili","seriola","dumerili","Sp_266"
"19","Amberjack","lesser amberjack","seriola fasciata","seriola","fasciata","Sp_267"
"19","Amberjack","yellowtail amberjack","seriola lalandi","seriola","lalandi","Sp_268"
"20","Cobia","cobia","rachycentron canadum","rachycentron","canadum","Sp_269"
"21,22","King mackerel (0-1yr)","king mackerel","scomberomorus cavalla","scomberomorus","cavalla","Sp_270"
"21,22","King mackerel (1+yr)","king mackerel (juvenile)","scomberomorus cavalla","scomberomorus","cavalla","Sp_271"
"21,22","King mackerel (1+yr)","king mackerel (adult)","scomberomorus cavalla","scomberomorus","cavalla","Sp_272"
"23,24","Spanish mackerel (0-1yr)","mackerel, spanish","scomberomorus maculatus","scomberomorus","maculatus","Sp_273"
"23,24","Spanish mackerel (0-1yr)","spanish mackerel","scomberomorus maculatus","scomberomorus","maculatus","Sp_274"
"23,24","Spanish mackerel (1+yr)","atlantic spanish mackerel (juvenile)","scomberomorus maculatus","scomberomorus","maculatus","Sp_275"
"23,24","Spanish mackerel (1+yr)","atlantic spanish mackerel (adult)","scomberomorus maculatus","scomberomorus","maculatus","Sp_276"
"25","Skates-rays","atlantic guitarfish","rhinobatos lentiginosus","rhinobatos","lentiginosus","Sp_277"
"25","Skates-rays","atlantic stingray","dasyatis sabina","dasyatis","sabina","Sp_278"
"25","Skates-rays","bluntnose stingray","dasyatis say","dasyatis","say","Sp_279"
"25","Skates-rays","bullnose ray","myliobatis freminvillei","myliobatis","freminvillei","Sp_280"
"25","Skates-rays","chain dogfish","scyliorhinus retifer","scyliorhinus","retifer","Sp_281"
"25","Skates-rays","clearnose skate","raja eglanteria","raja","eglanteria","Sp_282"
"25","Skates-rays","cownose ray","rhinoptera bonasus","rhinoptera","bonasus","Sp_283"
"25","Skates-rays","devil ray","mobula hypostoma","mobula","hypostoma","Sp_284"
"25","Skates-rays","largetooth sawfish","pristis pristis","pristis","pristis","Sp_285"
"25","Skates-rays","lesser electric ray","narcine brasiliensis","narcine","brasiliensis","Sp_286"
"25","Skates-rays","nurse shark","ginglymostoma cirratum","ginglymostoma","cirratum","Sp_287"
"25","Skates-rays","roughtail stingray","dasyatis centroura","dasyatis","centroura","Sp_288"
"25","Skates-rays","roundel skate","raja texana","raja","texana","Sp_289"
"25","Skates-rays","sawfish, smalltooth","pristis pectinata","pristis","pectinata","Sp_290"
"25","Skates-rays","smalltooth sawfish","pristis pectinata","pristis","pectinata","Sp_291"
"25","Skates-rays","smooth butterfly ray","gymnura micrura","gymnura","micrura","Sp_292"
"25","Skates-rays","southern eagle ray","myliobatis goodei","myliobatis","goodei","Sp_293"
"25","Skates-rays","southern stingray","dasyatis americana","dasyatis","americana","Sp_294"
"25","Skates-rays","spiny butterfly ray","gymnura altavela","gymnura","altavela","Sp_295"
"25","Skates-rays","spotted eagle ray","aetobatus narinari","aetobatus","narinari","Sp_296"
"25","Skates-rays","yellow stingray","urolophus jamaicensis","urolophus","jamaicensis","Sp_297"
"25","Skates-rays","eagle ray","aetobatis narinari","aetobatis","narinari","Sp_298"
"25","Skates-rays","shovelnose ray","aptychotrema sp","aptychotrema","sp","Sp_299"
"25","Skates-rays","cape elephantfish","callorhinchus capensis","callorhinchus","capensis","Sp_300"
"25","Skates-rays","longnose stingray","dasyatis guttata","dasyatis","guttata","Sp_301"
