EwE_num,EwE_name,Common,Sciname
18,Pelagic coastal piscivores,houndfish,tylosurus crocodilus
18,Pelagic coastal piscivores,hybrid striped bass,na
18,Pelagic coastal piscivores,hybrid striped bass,morone saxatilis x chrysops
18,Pelagic coastal piscivores,jack family,carangidae
18,Pelagic coastal piscivores,jack genus,caranx
18,Pelagic coastal piscivores,jack genus,caranx spp
18,Pelagic coastal piscivores,"jack, almaco",seriola rivoliana
18,Pelagic coastal piscivores,"jack, bar",caranx ruber
18,Pelagic coastal piscivores,"jack, black",caranx lugubris
18,Pelagic coastal piscivores,"jack, crevalle",caranx hippos
18,Pelagic coastal piscivores,"jack, horse-eye",caranx latus
18,Pelagic coastal piscivores,"jack, yellow",caranx bartholomaei
18,Pelagic coastal piscivores,jacks,carangidae
18,Pelagic coastal piscivores,ladyfish,elops saurus
18,Pelagic coastal piscivores,little tunny,euthynnus alletteratus
18,Pelagic coastal piscivores,mackerel (scomber),scomber
18,Pelagic coastal piscivores,"mackerel, cero",scomberomorus regalis
18,Pelagic coastal piscivores,"mackerel, chub",scomber japonicus
18,Pelagic coastal piscivores,marlinsucker,remora osteochir
18,Pelagic coastal piscivores,needlefish family,belonidae
18,Pelagic coastal piscivores,needlefish genus,tylosurus
18,Pelagic coastal piscivores,needlefish genus,tylosurus spp
18,Pelagic coastal piscivores,"needlefish, atlantic",strongylura marina
18,Pelagic coastal piscivores,pacific bonito,na
18,Pelagic coastal piscivores,pilotfish,naucrates ductor
18,Pelagic coastal piscivores,pompano dolphin,coryphaena equisetis
18,Pelagic coastal piscivores,rainbow runner,elagatis bipinnulata
18,Pelagic coastal piscivores,redfin needlefish,strongylura notata
18,Pelagic coastal piscivores,remora,remora remora
18,Pelagic coastal piscivores,remora family,echeneidae
18,Pelagic coastal piscivores,remora genus,remora
18,Pelagic coastal piscivores,"rudderfish, banded",seriola zonata
18,Pelagic coastal piscivores,"runner, blue",caranx crysos
18,Pelagic coastal piscivores,"runner, rainbow",elagatis bipinnulata
18,Pelagic coastal piscivores,sharksucker,echeneis naucrates
18,Pelagic coastal piscivores,sharksucker genus,echeneis
18,Pelagic coastal piscivores,snook,centropomus undecimalis
18,Pelagic coastal piscivores,snook genus,centropomus spp
18,Pelagic coastal piscivores,snook genus,centropomus
18,Pelagic coastal piscivores,"snook, unidentified",na
18,Pelagic coastal piscivores,spearfish remora,remora brachyptera
18,Pelagic coastal piscivores,striped bass,morone saxatilis
18,Pelagic coastal piscivores,suckers,catostomidae
18,Pelagic coastal piscivores,tarpon,megalops atlanticus
18,Pelagic coastal piscivores,tarpon family,elopidae
18,Pelagic coastal piscivores,tarpon snook,centropomus pectinatus
18,Pelagic coastal piscivores,tripletail,lobotes surinamensis
18,Pelagic coastal piscivores,"tuna, little tunny",euthynnus alletteratus
18,Pelagic coastal piscivores,wahoo,acanthocybium solandri
18,Pelagic coastal piscivores,whitefin sharksucker,echeneis neucratoides
18,Pelagic coastal piscivores,yellow jack,caranx bartholomaei
18,Pelagic coastal piscivores,mediterranean sand smelt,atherina hepsetus
18,Pelagic coastal piscivores,bullet tuna,auxis rochei
18,Pelagic coastal piscivores,frigate tuna,auxis sp
18,Pelagic coastal piscivores,frigate tuna,auxis thazard
18,Pelagic coastal piscivores,frigate tuna,auxis thazard thazard
18,Pelagic coastal piscivores,needlefish,belonidae
18,Pelagic coastal piscivores,yellow jack,carangoides bartholomaei
18,Pelagic coastal piscivores,green jack,caranx caballus
18,Pelagic coastal piscivores,pacific crevalle jack,caranx caninus
18,Pelagic coastal piscivores,island jack,caranx orthogrammus
18,Pelagic coastal piscivores,blacktip trevally,caranx sem
18,Pelagic coastal piscivores,bigeye trevally,caranx sexfasciatus
18,Pelagic coastal piscivores,caranx,caranx sp
18,Pelagic coastal piscivores,golden trevally,caranx speciosus
18,Pelagic coastal piscivores,cocinero,caranx vinctus
18,Pelagic coastal piscivores,pompano dolphinfish,coryphaena equiselis
18,Pelagic coastal piscivores,common dolphinfish,coryphaena hippurus
18,Pelagic coastal piscivores,dolphinfish,coryphaena hippurus
18,Pelagic coastal piscivores,dolphinfish,coryphaena sp
18,Pelagic coastal piscivores,dolphinfish,coryphaenidae
18,Pelagic coastal piscivores,grenadier,coryphaenoides sp
18,Pelagic coastal piscivores,remora,echeneidae
18,Pelagic coastal piscivores,live sharksucker,echeneis naucrates
18,Pelagic coastal piscivores,sharksucker,echeneis sp
18,Pelagic coastal piscivores,mackerel tuna,euthynnus affinis
18,Pelagic coastal piscivores,little tunny,euthynnus alleteratus
18,Pelagic coastal piscivores,black skipjack tuna,euthynnus lineatus
18,Pelagic coastal piscivores,mackerel tuna,euthynnus sp
18,Pelagic coastal piscivores,sargassumfish,histrio histrio
18,Pelagic coastal piscivores,trevally,kaiwarinus equula
18,Pelagic coastal piscivores,atlantic tripletail,lobotes surinamensis
18,Pelagic coastal piscivores,tripletail,lobotidae
18,Pelagic coastal piscivores,pilot fish,naucrates ductor
18,Pelagic coastal piscivores,salmon,oncorhynchus sp
18,Pelagic coastal piscivores,smelt,osmeridae
18,Pelagic coastal piscivores,pelagic,pelagic
18,Pelagic coastal piscivores,slender suckerfish,phtheirichthys lineatus
18,Pelagic coastal piscivores,keeled needlefish,platybelone argalus
18,Pelagic coastal piscivores,bluefish,pomatomidae
18,Pelagic coastal piscivores,pacific rudderfish,psenopsis anomala
18,Pelagic coastal piscivores,rastrelliger,rastrelliger kanagurta
18,Pelagic coastal piscivores,rastrelliger,rastrelliger sp
18,Pelagic coastal piscivores,marlin sucker,remora osteochir
18,Pelagic coastal piscivores,shark sucker,remora remora
18,Pelagic coastal piscivores,remora,remora sp
18,Pelagic coastal piscivores,remora,remora sp
