Group,Sciname,Common,EwE_name,EwE_num
pelagic coastal piscivores,CARANGOIDES BARTHOLOMAEI,YELLOW JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX CABALLUS,GREEN JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX CANINUS,PACIFIC CREVALLE JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX ORTHOGRAMMUS,ISLAND JACK,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX SEM,BLACKTIP TREVALLY,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX SEXFASCIATUS,BIGEYE TREVALLY,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX SP,CARANX,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX SPECIOSUS,GOLDEN TREVALLY,Pelagic coastal piscivores,18
pelagic coastal piscivores,CARANX VINCTUS,COCINERO,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA EQUISELIS,POMPANO DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA HIPPURUS,COMMON DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA HIPPURUS,DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENA SP,DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENIDAE,DOLPHINFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,CORYPHAENOIDES SP,GRENADIER,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIDAE,REMORA,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIS NAUCRATES,LIVE SHARKSUCKER,Pelagic coastal piscivores,18
pelagic coastal piscivores,ECHENEIS SP.,SHARKSUCKER,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS AFFINIS,MACKEREL TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS ALLETERATUS,LITTLE TUNNY,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS LINEATUS,BLACK SKIPJACK TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,EUTHYNNUS SP,MACKEREL TUNA,Pelagic coastal piscivores,18
pelagic coastal piscivores,HISTRIO HISTRIO,SARGASSUMFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,KAIWARINUS EQUULA,TREVALLY,Pelagic coastal piscivores,18
pelagic coastal piscivores,LOBOTES SURINAMENSIS,ATLANTIC TRIPLETAIL,Pelagic coastal piscivores,18
pelagic coastal piscivores,LOBOTIDAE,TRIPLETAIL,Pelagic coastal piscivores,18
pelagic coastal piscivores,NAUCRATES DUCTOR,PILOT FISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,ONCORHYNCHUS SP,SALMON,Pelagic coastal piscivores,18
pelagic coastal piscivores,OSMERIDAE,SMELT,Pelagic coastal piscivores,18
pelagic coastal piscivores,PELAGIC,PELAGIC,Pelagic coastal piscivores,18
pelagic coastal piscivores,PHTHEIRICHTHYS LINEATUS,SLENDER SUCKERFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,PLATYBELONE ARGALUS,KEELED NEEDLEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,POMATOMIDAE,BLUEFISH,Pelagic coastal piscivores,18
pelagic coastal piscivores,PSENOPSIS ANOMALA,PACIFIC RUDDERFISH,Pelagic coastal piscivores,18
